id,name,city,country,continent,climate,budget,group_size,vibe,best_months,typical_cost_per_day_usd,activities,description,tags
Bali-Indonesia-92161,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$$,Family,Relaxation,"April, December, March",529,"spas, slow cafés","Bali, Indonesia blends relaxation and tropical vibes—great for family trips. Expect spas, slow cafés. Best in April, December, March.",Relaxation;Tropical;Asia
Bali-Indonesia-751800,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$,Solo,City,"April, December, September",52,"architecture, neighborhood walks","Bali, Indonesia blends city and tropical vibes—great for solo trips. Expect architecture, neighborhood walks. Best in April, December, September.",City;Tropical;Asia
Bali-Indonesia-357778,"Bali, Indonesia",Bali,Indonesia,Asia,Temperate,$,Group,Food,"October, May, January",67,"fine dining, food tours","Bali, Indonesia blends food and temperate vibes—great for group trips. Expect fine dining, food tours. Best in October, May, January.",Food;Temperate;Asia
Bali-Indonesia-361663,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$,Family,Nature,"February, December, July",94,"national parks, wildlife","Bali, Indonesia blends nature and tropical vibes—great for family trips. Expect national parks, wildlife. Best in February, December, July.",Nature;Tropical;Asia
Bali-Indonesia-870693,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$$,Group,Nature,"September, February, July",400,"national parks, waterfalls","Bali, Indonesia blends nature and tropical vibes—great for group trips. Expect national parks, waterfalls. Best in September, February, July.",Nature;Tropical;Asia
Bali-Indonesia-909573,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$$,Solo,Beach,"January, November, April",369,"island hopping, snorkeling","Bali, Indonesia blends beach and tropical vibes—great for solo trips. Expect island hopping, snorkeling. Best in January, November, April.",Beach;Tropical;Asia
Bali-Indonesia-703729,"Bali, Indonesia",Bali,Indonesia,Asia,Temperate,$$,Group,Relaxation,"November, June, March",153,"slow cafés, sunbathing","Bali, Indonesia blends relaxation and temperate vibes—great for group trips. Expect slow cafés, sunbathing. Best in November, June, March.",Relaxation;Temperate;Asia
Bali-Indonesia-971342,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$$,Couple,Nature,"September, April, March",388,"lakes, wildlife","Bali, Indonesia blends nature and tropical vibes—great for couple trips. Expect lakes, wildlife. Best in September, April, March.",Nature;Tropical;Asia
Bali-Indonesia-70403,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$$,Family,Food,"January, April, December",387,"food tours, fine dining","Bali, Indonesia blends food and tropical vibes—great for family trips. Expect food tours, fine dining. Best in January, April, December.",Food;Tropical;Asia
Bali-Indonesia-259607,"Bali, Indonesia",Bali,Indonesia,Asia,Temperate,$,Group,Nightlife,"July, November, August",48,"bars, rooftops","Bali, Indonesia blends nightlife and temperate vibes—great for group trips. Expect bars, rooftops. Best in July, November, August.",Nightlife;Temperate;Asia
